patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
controlc573months4oiesco_3,3,health,none,3.08E-07,4.84E-07,7.28E-07,9.49E-07,1.16E-06,1.43E-06,1.64E-06,1.68E-06,1.66E-06,1.75E-06,2.02E-06,2.37E-06,2.60E-06,2.65E-06,2.67E-06,2.97E-06,3.53E-06,4.05E-06,4.51E-06,5.43E-06,7.24E-06,9.40E-06,1.05E-05,1.00E-05,8.70E-06,7.83E-06,8.34E-06,1.05E-05,1.48E-05,2.37E-05,4.24E-05,7.57E-05,0.000115642,0.000142831,0.000151247,0.000154928,0.000165581,0.000179184,0.000190907,0.000214683,0.000295808,0.000541819,0.001069513,0.001723964,0.002060402,0.001862055,0.001361785,0.000893294,0.000599504,0.000455308,0.000390176,0.000357197,0.000344076,0.00034352,0.000333616,0.000299923,0.000253513,0.000218929,0.000212251,0.000226199,0.000238654,0.000243125,0.00025475,0.000274801,0.000280423,0.00026222,0.000234559,0.000209118,0.000187319,0.000168778,0.000153296,0.000139983,0.000126416,0.000110471,9.34E-05,7.84E-05,6.71E-05,5.79E-05,4.94E-05,4.17E-05,3.58E-05,3.18E-05,2.87E-05,2.57E-05,2.29E-05,2.05E-05,1.88E-05
controlc573months4oiesco_2,2,health,none,2.80E-07,3.24E-07,4.50E-07,7.47E-07,1.16E-06,1.48E-06,1.55E-06,1.41E-06,1.28E-06,1.37E-06,1.72E-06,2.19E-06,2.59E-06,2.82E-06,2.92E-06,2.95E-06,2.90E-06,2.75E-06,2.68E-06,2.99E-06,3.84E-06,5.27E-06,7.18E-06,9.13E-06,1.05E-05,1.14E-05,1.25E-05,1.54E-05,2.17E-05,3.21E-05,4.68E-05,6.62E-05,8.90E-05,0.000111375,0.000130123,0.000143681,0.000151663,0.000152464,0.000147178,0.000150172,0.000210455,0.000468695,0.001099749,0.001934606,0.002396582,0.002173972,0.0015493,0.000958381,0.000596336,0.000432978,0.000371319,0.00034324,0.00032432,0.000306271,0.000280091,0.000245414,0.00021415,0.000200708,0.000211816,0.000234813,0.000245081,0.000240257,0.000246032,0.000271414,0.000288401,0.000274747,0.000240796,0.00020742,0.00018568,0.000175196,0.000169215,0.000160977,0.00014728,0.000129029,0.000109042,8.97E-05,7.28E-05,5.89E-05,4.79E-05,3.94E-05,3.33E-05,2.95E-05,2.76E-05,2.63E-05,2.50E-05,2.32E-05,2.12E-05
controlc573months4oiesco_1,1,health,none,1.72E-06,1.19E-06,7.82E-07,5.81E-07,5.42E-07,6.39E-07,8.73E-07,1.19E-06,1.48E-06,1.74E-06,2.29E-06,3.45E-06,4.77E-06,5.30E-06,5.03E-06,5.24E-06,7.32E-06,1.12E-05,1.54E-05,1.81E-05,1.82E-05,1.61E-05,1.34E-05,1.14E-05,1.01E-05,9.43E-06,1.08E-05,1.60E-05,2.37E-05,3.15E-05,3.87E-05,4.62E-05,5.70E-05,7.44E-05,9.54E-05,0.000109288,0.000112014,0.000117538,0.000142885,0.000186956,0.000248053,0.000398731,0.00081471,0.001506384,0.002059029,0.002056304,0.001585589,0.001031434,0.000648269,0.000462504,0.000394672,0.000369342,0.00035051,0.000329655,0.000301569,0.000262741,0.000222718,0.000199684,0.000206725,0.00023555,0.000256245,0.000253803,0.000250663,0.00026744,0.000283243,0.000268036,0.00022537,0.000178421,0.00014293,0.000122584,0.000113049,0.000107324,0.000100763,9.22E-05,8.21E-05,7.14E-05,6.09E-05,5.12E-05,4.27E-05,3.59E-05,3.07E-05,2.69E-05,2.37E-05,2.09E-05,1.88E-05,1.73E-05,1.62E-05
controlc573months2odesco_5,5,health,none,3.99E-08,3.57E-08,3.20E-08,3.08E-08,3.18E-08,3.56E-08,4.43E-08,6.01E-08,8.05E-08,9.67E-08,1.03E-07,1.02E-07,1.00E-07,1.04E-07,1.16E-07,1.32E-07,1.50E-07,1.90E-07,2.90E-07,4.70E-07,6.99E-07,9.41E-07,1.30E-06,2.04E-06,3.21E-06,4.38E-06,5.21E-06,6.03E-06,7.13E-06,8.32E-06,1.01E-05,1.50E-05,3.19E-05,8.38E-05,0.000192701,0.000332874,0.000430632,0.00043927,0.000381505,0.000306441,0.00024092,0.000189302,0.000151255,0.000128717,0.000135684,0.000236409,0.000515643,0.000884067,0.001068852,0.000942818,0.000648237,0.000377597,0.000208366,0.000124188,8.69E-05,7.27E-05,7.16E-05,7.56E-05,7.49E-05,6.69E-05,5.62E-05,4.74E-05,4.20E-05,3.97E-05,3.91E-05,3.90E-05,3.88E-05,3.82E-05,3.70E-05,3.54E-05,3.35E-05,3.10E-05,2.77E-05,2.42E-05,2.13E-05,1.93E-05,1.77E-05,1.58E-05,1.39E-05,1.23E-05,1.15E-05,1.13E-05,1.13E-05,1.12E-05,1.13E-05,1.19E-05,1.27E-05
controlc573months2odesco_4,4,health,none,5.93E-08,6.69E-08,7.22E-08,7.75E-08,8.35E-08,8.96E-08,9.44E-08,9.43E-08,8.67E-08,7.69E-08,7.87E-08,1.02E-07,1.49E-07,2.13E-07,2.79E-07,3.21E-07,3.36E-07,3.64E-07,4.82E-07,7.56E-07,1.15E-06,1.52E-06,1.83E-06,2.27E-06,3.22E-06,4.87E-06,6.86E-06,8.35E-06,9.08E-06,1.01E-05,1.39E-05,2.43E-05,4.72E-05,9.38E-05,0.000177298,0.000291508,0.000402455,0.000467742,0.000456573,0.000374499,0.000266817,0.000180057,0.000130063,0.00011069,0.000126683,0.000236879,0.000524989,0.000908436,0.001111314,0.000990774,0.000685987,0.000401498,0.000224202,0.000137681,9.95E-05,8.26E-05,7.70E-05,7.66E-05,7.32E-05,6.36E-05,5.20E-05,4.32E-05,3.83E-05,3.63E-05,3.65E-05,3.76E-05,3.87E-05,3.89E-05,3.84E-05,3.71E-05,3.52E-05,3.30E-05,3.05E-05,2.73E-05,2.38E-05,2.07E-05,1.80E-05,1.58E-05,1.40E-05,1.32E-05,1.32E-05,1.36E-05,1.37E-05,1.32E-05,1.26E-05,1.26E-05,1.30E-05
controlc573months2odesco_3,3,health,none,4.96E-07,4.21E-07,4.26E-07,5.16E-07,6.17E-07,6.37E-07,5.53E-07,4.21E-07,3.17E-07,2.94E-07,3.52E-07,4.36E-07,5.26E-07,6.55E-07,8.25E-07,1.02E-06,1.21E-06,1.32E-06,1.31E-06,1.37E-06,1.69E-06,2.28E-06,2.93E-06,3.67E-06,4.88E-06,6.92E-06,9.91E-06,1.43E-05,2.32E-05,4.83E-05,0.00010608,0.000185773,0.000238895,0.000244827,0.000253453,0.000316309,0.000402283,0.000436502,0.00040089,0.000359135,0.00038901,0.000477402,0.000522314,0.000468466,0.000378072,0.000395299,0.00064702,0.001034198,0.001238193,0.00110347,0.000793661,0.00052328,0.000355225,0.000259151,0.000205741,0.00017939,0.000169613,0.000166475,0.000159711,0.000146669,0.000132715,0.000122672,0.000115967,0.000109359,0.000101998,9.60E-05,9.26E-05,9.03E-05,8.75E-05,8.38E-05,7.90E-05,7.23E-05,6.40E-05,5.54E-05,4.84E-05,4.38E-05,4.06E-05,3.72E-05,3.36E-05,3.07E-05,2.89E-05,2.78E-05,2.63E-05,2.40E-05,2.14E-05,1.93E-05,1.78E-05
controlc573months2odesco_2,2,health,none,2.06E-08,2.31E-08,2.69E-08,3.19E-08,3.61E-08,3.70E-08,3.39E-08,2.87E-08,2.49E-08,2.95E-08,5.45E-08,1.09E-07,1.77E-07,2.26E-07,2.38E-07,2.40E-07,2.84E-07,4.04E-07,5.87E-07,7.96E-07,1.01E-06,1.24E-06,1.51E-06,1.79E-06,2.02E-06,2.23E-06,2.65E-06,3.64E-06,5.28E-06,7.21E-06,9.30E-06,1.37E-05,2.86E-05,7.71E-05,0.00019256,0.00036848,0.000519465,0.000553677,0.000470711,0.000344364,0.000237056,0.00016478,0.000120507,9.79E-05,0.000100166,0.000169222,0.000408944,0.000828443,0.001170641,0.001170175,0.000877194,0.000529139,0.000280408,0.000147574,8.98E-05,6.98E-05,6.76E-05,7.19E-05,7.36E-05,6.88E-05,6.02E-05,5.16E-05,4.49E-05,4.07E-05,3.96E-05,4.07E-05,4.18E-05,4.14E-05,3.99E-05,3.81E-05,3.60E-05,3.36E-05,3.04E-05,2.67E-05,2.30E-05,2.01E-05,1.79E-05,1.60E-05,1.42E-05,1.29E-05,1.22E-05,1.21E-05,1.20E-05,1.18E-05,1.16E-05,1.19E-05,1.25E-05
controlc573months2odesco_1,1,health,none,1.05E-08,1.24E-08,1.35E-08,1.42E-08,1.59E-08,1.89E-08,2.04E-08,1.95E-08,2.07E-08,3.09E-08,5.26E-08,8.18E-08,1.08E-07,1.16E-07,1.02E-07,8.01E-08,7.38E-08,1.01E-07,1.64E-07,2.69E-07,4.30E-07,6.11E-07,7.63E-07,9.33E-07,1.24E-06,1.76E-06,2.54E-06,3.73E-06,5.53E-06,7.85E-06,1.04E-05,1.49E-05,3.05E-05,8.01E-05,0.000189114,0.000345162,0.000483214,0.000536001,0.000487409,0.000376162,0.000258693,0.000169964,0.000116067,9.12E-05,9.77E-05,0.000183211,0.000457154,0.000914143,0.001269179,0.00125036,0.000927897,0.000558477,0.000299408,0.000160616,9.65E-05,7.04E-05,6.46E-05,6.84E-05,7.10E-05,6.63E-05,5.72E-05,4.90E-05,4.39E-05,4.09E-05,3.92E-05,3.88E-05,3.97E-05,4.14E-05,4.30E-05,4.32E-05,4.12E-05,3.71E-05,3.18E-05,2.68E-05,2.31E-05,2.12E-05,2.01E-05,1.88E-05,1.71E-05,1.56E-05,1.47E-05,1.45E-05,1.44E-05,1.39E-05,1.36E-05,1.36E-05,1.38E-05
controlc573months5oiesco_5,5,health,none,6.71E-07,7.02E-07,7.01E-07,6.71E-07,7.30E-07,1.05E-06,1.82E-06,3.11E-06,4.51E-06,5.29E-06,5.16E-06,4.40E-06,3.56E-06,3.30E-06,4.14E-06,5.72E-06,6.98E-06,7.39E-06,7.25E-06,7.19E-06,8.00E-06,1.02E-05,1.37E-05,1.73E-05,1.98E-05,2.13E-05,2.33E-05,2.74E-05,3.33E-05,3.94E-05,4.79E-05,6.10E-05,7.57E-05,8.83E-05,0.000104851,0.000143204,0.000214631,0.000300054,0.000364877,0.00039692,0.000407418,0.00040463,0.00039057,0.000379469,0.000387637,0.000396739,0.000370896,0.000309532,0.000242943,0.000192157,0.000157711,0.000133171,0.000113912,9.83E-05,8.77E-05,8.34E-05,8.51E-05,9.25E-05,0.000103474,0.000112439,0.000114343,0.000109445,0.000101377,9.30E-05,8.54E-05,7.91E-05,7.45E-05,7.10E-05,6.76E-05,6.35E-05,5.84E-05,5.22E-05,4.57E-05,4.01E-05,3.55E-05,3.17E-05,2.81E-05,2.47E-05,2.17E-05,1.89E-05,1.68E-05,1.56E-05,1.49E-05,1.46E-05,1.45E-05,1.46E-05,1.46E-05
controlc573months5oiesco_4,4,health,none,1.29E-06,1.41E-06,1.51E-06,1.68E-06,1.87E-06,2.00E-06,2.17E-06,2.45E-06,2.60E-06,2.44E-06,2.22E-06,2.38E-06,2.95E-06,3.64E-06,4.28E-06,4.90E-06,5.43E-06,5.74E-06,5.76E-06,5.50E-06,4.95E-06,4.36E-06,4.21E-06,4.90E-06,6.58E-06,8.91E-06,1.10E-05,1.22E-05,1.36E-05,1.67E-05,2.30E-05,3.17E-05,3.99E-05,5.10E-05,7.72E-05,0.000125246,0.00019201,0.000277151,0.000365962,0.000413635,0.000393203,0.000329454,0.000267742,0.000247567,0.000288215,0.000354403,0.000376324,0.000329056,0.000247985,0.000176036,0.000129704,0.00010544,9.55E-05,9.42E-05,9.79E-05,0.000103753,0.000110393,0.00011834,0.000126314,0.000129489,0.000125196,0.000116186,0.000106329,9.65E-05,8.61E-05,7.58E-05,6.74E-05,6.14E-05,5.72E-05,5.36E-05,4.98E-05,4.52E-05,4.00E-05,3.47E-05,3.04E-05,2.72E-05,2.47E-05,2.23E-05,2.01E-05,1.82E-05,1.67E-05,1.58E-05,1.52E-05,1.47E-05,1.43E-05,1.41E-05,1.38E-05
controlc573months5oiesco_3,3,health,none,7.42E-07,5.20E-07,4.49E-07,4.51E-07,4.78E-07,5.53E-07,6.61E-07,7.15E-07,7.01E-07,7.52E-07,1.00E-06,1.41E-06,1.74E-06,1.79E-06,1.57E-06,1.33E-06,1.40E-06,1.99E-06,3.00E-06,3.97E-06,4.55E-06,4.82E-06,5.01E-06,5.35E-06,6.58E-06,9.83E-06,1.55E-05,2.40E-05,4.09E-05,8.34E-05,0.000167562,0.000266593,0.000314164,0.000281773,0.000208711,0.000150785,0.000137465,0.000169731,0.000236852,0.000341428,0.00048695,0.000616615,0.000640335,0.000551448,0.000436999,0.000381354,0.000402357,0.000444095,0.000435128,0.000378804,0.000340526,0.000342188,0.000342576,0.00032214,0.000300058,0.000285218,0.000275005,0.000268937,0.000262407,0.000250821,0.000237301,0.000227218,0.000220971,0.00021673,0.000213358,0.000209173,0.000202605,0.000193674,0.000183147,0.000171532,0.000158614,0.000143562,0.000126468,0.000108947,9.31E-05,8.01E-05,6.95E-05,6.04E-05,5.19E-05,4.41E-05,3.77E-05,3.31E-05,2.97E-05,2.65E-05,2.33E-05,2.06E-05,1.89E-05
